,27,boligsiden ny,boligsiden ny,27,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Eskedalsvej 2,9362,Gandrup,765.000,7.427,Villa,210,0,108,103,4,http://www.boligsiden.dk/salg/330369338,/salg/330369338,,Eskedalsvej 2
,28,boligsiden ny,boligsiden ny,28,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Lucernehaven 78,9370,Hals,1.595.000,9.011,Villa,210,0,171,177,6,http://www.boligsiden.dk/salg/212858038,/salg/212858038,,Lucernehaven 78
,29,boligsiden ny,boligsiden ny,29,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Tranumparken 28,9220,Aalborg Øst,1.898.000,12.487,Villa,210,0,138,152,6,http://www.boligsiden.dk/salg/684649041,/salg/684649041,,Tranumparken 28
,30,boligsiden ny,boligsiden ny,30,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Rylevej 2,9370,Hals,650.000,8.667,Fritidsbolig,210,0,73,75,3,http://www.boligsiden.dk/salg/764524938,/salg/764524938,,Rylevej 2
,31,boligsiden ny,boligsiden ny,31,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Kongevejen 23,9370,Hals,235.000,150,Fritidsgrund,211,1,-,Grund 1.564,0,http://www.boligsiden.dk/salg/734076014,/salg/734076014,,Kongevejen 23
,32,boligsiden ny,boligsiden ny,32,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Blåmejsevej 7,9370,Hals,999.000,15.857,Fritidsbolig,211,3,63,63,4,http://www.boligsiden.dk/salg/618868196,/salg/618868196,,Blåmejsevej 7
,33,boligsiden ny,boligsiden ny,33,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Borgergade 65,9362,Gandrup,865.000,5.058,Villa,214,8,165,171,5,http://www.boligsiden.dk/salg/857436210,/salg/857436210,,Borgergade 65
,34,boligsiden ny,boligsiden ny,34,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Kimbrervej 14,9370,Hals,995.000,9.299,Fritidsbolig,214,4,101,107,4,http://www.boligsiden.dk/salg/544335997,/salg/544335997,,Kimbrervej 14
,35,boligsiden ny,boligsiden ny,35,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Løgstørvej 5,9240,Nibe,1.750.000,10.870,Villa,214,4,161,161,4,http://www.boligsiden.dk/salg/244766685,/salg/244766685,,Løgstørvej 5
,36,boligsiden ny,boligsiden ny,36,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Uglevænget 32B,9310,Vodskov,1.785.000,14.875,Villa,214,4,120,120,4,http://www.boligsiden.dk/salg/337508252,/salg/337508252,,Uglevænget 32B
,37,boligsiden ny,boligsiden ny,37,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Skovsneppevej 8,9370,Hals,890.000,16.182,Fritidsbolig,214,4,51,55,3,http://www.boligsiden.dk/salg/890177678,/salg/890177678,,Skovsneppevej 8
,38,boligsiden ny,boligsiden ny,38,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Uglevænget 32C,9310,Vodskov,1.785.000,14.875,Villa,214,4,120,120,4,http://www.boligsiden.dk/salg/827191421,/salg/827191421,,Uglevænget 32C
,39,boligsiden ny,boligsiden ny,39,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Skolevænget 10 st.,9362,Gandrup,295.000,4.609,Ejerlejlighed,214,4,64,64,2,http://www.boligsiden.dk/salg/961031886,/salg/961031886,,Skolevænget 10 st.
,40,boligsiden ny,boligsiden ny,40,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Løgstørvej 5,9240,Nibe,1.750.000,10.870,Landejendom,214,4,161,161,4,http://www.boligsiden.dk/salg/727365758,/salg/727365758,,Løgstørvej 5
,41,boligsiden ny,boligsiden ny,41,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Uglevænget 32A,9310,Vodskov,1.785.000,14.875,Villa,214,4,120,120,4,http://www.boligsiden.dk/salg/798260869,/salg/798260869,,Uglevænget 32A
,42,boligsiden ny,boligsiden ny,42,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Nøvling Kirkevej 22,9260,Gistrup,2.895.000,23.730,Fritidsbolig,214,7,114,122,3,http://www.boligsiden.dk/salg/989855812,/salg/989855812,,Nøvling Kirkevej 22
,43,boligsiden ny,boligsiden ny,43,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Lille Strandgård 1,9370,Hals,745.000,11.641,Fritidsbolig,214,4,64,64,2,http://www.boligsiden.dk/salg/383581574,/salg/383581574,,Lille Strandgård 1
,44,boligsiden ny,boligsiden ny,44,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Uglevænget 32D,9310,Vodskov,1.785.000,14.875,Villa,214,4,120,120,4,http://www.boligsiden.dk/salg/824910112,/salg/824910112,,Uglevænget 32D
,45,boligsiden ny,boligsiden ny,45,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Præstevænge 3,9400,Nørresundby,1.795.000,11.656,Villa,215,7,127,154,4,http://www.boligsiden.dk/salg/718996167,/salg/718996167,,Præstevænge 3
,46,boligsiden ny,boligsiden ny,46,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Præstevænget 18A,9370,Hals,1.175.000,9.711,Villa,215,8,114,121,4,http://www.boligsiden.dk/salg/809978527,/salg/809978527,,Præstevænget 18A
,47,boligsiden ny,boligsiden ny,47,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Mågevej 29,9280,Storvorde,965.000,9.650,Fritidsbolig,215,3,95,100,4,http://www.boligsiden.dk/salg/750178558,/salg/750178558,,Mågevej 29
,48,boligsiden ny,boligsiden ny,48,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Junovej 16,9370,Hals,1.474.000,15.041,Fritidsbolig,216,6,98,98,4,http://www.boligsiden.dk/salg/327522609,/salg/327522609,,Junovej 16
,49,boligsiden ny,boligsiden ny,49,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Svenstrup Skolevej 12,9230,Svenstrup J,3.195.000,15.510,Villa,216,3,156,206,6,http://www.boligsiden.dk/salg/680177421,/salg/680177421,,Svenstrup Skolevej 12
,50,boligsiden ny,boligsiden ny,50,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Østerbro 93 1.,9000,Aalborg,1.699.000,14.647,Ejerlejlighed,216,6,116,116,3,http://www.boligsiden.dk/salg/373416895,/salg/373416895,,Østerbro 93 1.
,51,boligsiden ny,boligsiden ny,51,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Skalhøje 57,9240,Nibe,4.395.000,22.423,Villa,217,7,196,196,4,http://www.boligsiden.dk/salg/971936996,/salg/971936996,,Skalhøje 57
,52,boligsiden ny,boligsiden ny,52,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Nørholmsvej 510,9240,Nibe,3.998.000,13.553,Landejendom,217,7,308,295,8,http://www.boligsiden.dk/salg/260683676,/salg/260683676,,Nørholmsvej 510
,53,boligsiden ny,boligsiden ny,53,http://www.boligsiden.dk/salgspris/tilsalg/alle/4?kommune=Aalborg&displaytab=mergedtab&antalperside=400&sort=liggetid,Krøjbergsvej 12,9370,Hals,895.000,11.329,Fritidsbolig,219,9,79,79,4,http://www.boligsiden.dk/salg/853729590,/salg/853729590,,Krøjbergsvej 12
